rodata_off	key	variant	length	plaintext	source
0x00839b36	0x1bcb07e5f1e1d733	counter_xor	32	3впек7Е+4ьсгх8Б,5ыреи9Ц-6зуцф:Ю.	multi_variant
0x0099c8e6	0x4717f9b3f9b7c51d	counter_xor	32	oУf{юиееjЖkxайлйiВlyбкокXЬm~олбх	multi_variant
0x009a22a3	0x13056bb79b2f4b63	counter_xor	32	ДяйО0ПЮDЦпуТ?ЯЦzБстд>РБFАНвЩ=оМ|	multi_variant
0x009a46b3	0xc583bb5171619f79	counter_xor	32	МЖ3ЕхяяWЦо0Иглж.Тп1ХйовCЖя6Амйт[	multi_variant
0x00a031b5	0xb5efd1d16de9c307	counter_xor	32	ЫеИе#пКqЖбЙр сТ*ВцКШ рУ#ТюЛЛ'уЖ@	multi_variant
0x00a15973	0xedd51dcf3b017bef	counter_xor	32	Ккж:оМ|ЛТпу=пр|ОУыт<як}НЖБс?рЮsЯ	multi_variant
0x00a21337	0x093f23c5fffbeded	counter_xor	32	ОМ'1г'ОгЛН`од пеМОIне!ИдРП:мй"Зц	multi_variant
0x837820	0xaff7c78d7d91c927	counter_cumsum	11	EМоЦяiМх"еа	immediate_walker
0x857ca0	0x75cb5d4951c92ddd	counter_cumsum	12	?;Х4P<ь4ЩнНН	immediate_walker
0x85a280	0x073d6fcba327314b	counter_cumsum	10	(+) меню:ь	immediate_walker
0x8fbbe0	0xb515639d1f513507	counter_cumsum	8	игры	prefix_scan
0x0085dbd0	0x37c937cb4bd7cdc1	counter_xor	32	амеXъ#э"тьнZш/щ/шваUу!с!щицWв#у#	multi_variant
0x00996e61	0xc7932fe9399121c5	counter_xor	32	окn#Юеlпохm.Цзkыниl5Бшjбанk4Еьiо	multi_variant
0x009a2a84	0x5fef8bab57efd78f	counter_xor	32	р?ЭцУcЛко0ВллdЮТП1гмоeзУЯ2гнйfсЖ	multi_variant
0x009a377b	0x4531574f6535c141	counter_xor	32	ю65Енф2заP5фск1ГюW4ерл0ДгR;лям7М	multi_variant
0x009ba7dd	0xedcbf77947cfdb3b	counter_xor	32	;До{yнкш<Опxzулд=Зяm{ьмЯ>ерR|ОнБ	multi_variant
0x009eca31	0x57c10f2b29c5534b	counter_xor	32	ътг)онюSюсд*ьяц\ере+Асб]чпй,Зпе^	multi_variant
0x00a037dd	0xb929cbc7a983c5d1	counter_xor	32	раO1аке:яб@2нлж9пц53омо>вл.4лнь9	multi_variant
0x00a1873d	0x59e15f5f11df2b55	counter_xor	32	У(ома\ЮИВ/ДраcБФЖ.ЕсаbБкШ-ФьОaЕю	multi_variant
0x00a227fb	0xbb35d7356929e539	counter_xor	32	оГ)Ибу1OлД*Фаз& лЕ+цюш3}кЙ,поь<z	multi_variant
0x837850	0x2995a31f6fd5f551	counter_cumsum	10	3гmsОКя.NМ	immediate_walker
0x8586d8	0xb32f0fabd9bd6f85	counter_cumsum	11	жUНйбEGKп@Ч	immediate_walker
0x85a520	0x7babe30d110b4333	counter_cumsum	12	сЙ!d{фм wбии	immediate_walker
