prefix	variant	key	offset
Настройки	counter_cumsum	0x05078773b707319b	0x85a180
прошивки	counter_cumsum	0xf9f103f1d567cf0d	0x85aaf8
Установлено	simple_xor	0xa3157da92125379f	0x8594c8
Установлено	simple_xor	0xf9d339b97b4fbd19	0x85a0a0
Установлено	counter_xor	0xa3157da92125379f	0x8594c8
Установлено	counter_xor	0xf9d339b97b4fbd19	0x85a0a0
Установлено	counter_cumsum	0x5dbb5b1fd1039357	0x859e18
Установлено	counter_cumsum	0x2b930f0907032f49	0x85a3e8
Установлено	counter_cumsum	0x55dd8d8151775bd1	0x85a8e0
Установить	simple_xor	0x1bcb07e5f1e1d733	0x85b0c8
Установить	counter_xor	0x1bcb07e5f1e1d733	0x85b0c8
Переместить	simple_xor	0x3711e585f3dd1175	0x859590
Переместить	simple_xor	0x617583af7ded65cb	0x85aec8
Переместить	counter_xor	0x3711e585f3dd1175	0x859590
Переместить	counter_xor	0x617583af7ded65cb	0x85aec8
Выключить	counter_cumsum	0x839b39bdc14f89d9	0x85a010
прошивка	counter_cumsum	0x81131375f7931323	0x8fd5a8
прочитать	simple_xor	0x5bdf21ad8deb2d39	0x85a8d8
прочитать	counter_xor	0x5bdf21ad8deb2d39	0x85a8d8
прочитать	counter_cumsum	0x9dbdb54f6de7c5dd	0x85a8c8
Загружено	counter_cumsum	0x93dbcbd9e7bbf973	0x85ace8
Регистрация	simple_xor	0x5725037de57de79f	0x857fe8
Регистрация	simple_xor	0x812f5d012f8f15db	0x858240
Регистрация	counter_xor	0x5725037de57de79f	0x857fe8
Регистрация	counter_xor	0x812f5d012f8f15db	0x858240
Использовать	simple_xor	0x213d593f1563257d	0x858900
Использовать	simple_xor	0x7f55d5fb330f754b	0x85af38
Использовать	counter_xor	0x213d593f1563257d	0x858900
Использовать	counter_xor	0x7f55d5fb330f754b	0x85af38
Использовать	counter_cumsum	0x2571811187f15535	0x859c48
